Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Known Educators Kidnap Or Arrest Outcome,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Known Student Kidnap Or Arrest Outcome,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID,Date Event Entered,Date Event Modified
2023-07-15,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Unspecified Explosive,School: No Further Details,1,0,0,0,0,1,True,0,0,0,0,,2,0,0,0,,0,0,40810,2023-10-05,2025-01-29
2023-07-15,,Ukraine,UKR,Zaporizhia Oblast,,,censored,Education Building ,Government: Military,Armed Forces of Ukraine,Shelling,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,40828,2023-10-06,2024-11-24
2023-07-15,,Mexico,MEX,Aguascalientes,,,censored,Private Travel,NSA,Unidentified Armed Actor,Firearms,Not Applicable,0,0,0,0,0,0,False,2,0,0,0,,0,0,0,0,,0,0,40963,2023-10-10,2024-11-24
2023-07-13,,Myanmar,MMR,Chin,,,censored,Education Building ,Other,People's Defence Force (Myanmar),Firearms,School: No Further Details,1,0,0,0,1,0,False,0,0,0,0,,0,0,0,0,,0,0,40798,2023-10-04,2025-01-10
2023-07-13,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Artillery,Not Applicable,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,40799,2023-10-04,2024-11-24
2023-07-13,,Guatemala,GTM,Guatemala Department,,,censored,Education Building ,NSA,Unidentified Armed Actor,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,0,,0,1,0,0,,0,0,40961,2023-10-10,2024-11-24
2023-07-13,,Haiti,HTI,West,,,censored,Education Building ,NSA,Unidentified Armed Actor,Firearms,School: No Further Details,1,0,1,0,1,0,False,0,0,0,0,,0,0,0,0,,0,0,40962,2023-10-10,2026-03-05
2023-07-13,,Pakistan,PAK,Khyber Pakhtunkhwa,,,censored,Education Building ,Police,Pakistan Police,Knife,Not Applicable,0,0,0,0,0,0,False,0,1,0,0,,0,0,0,0,,0,0,66331,2024-08-20,2026-03-10
2023-07-12,,Myanmar,MMR,Kayah State,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,40127,2023-08-23,2024-11-24
2023-07-12,,Burkina Faso,BFA,Boucle du Mouhoun,,,censored,Education Building ,NSA,Unidentified Armed Actor,Firearms,School: No Further Details,1,0,0,0,1,0,True,0,0,0,0,,4,0,4,0,,0,0,40639,2023-09-28,2025-01-10
2023-07-12,,Kenya,KEN,Nairobi County,,,censored,Education Building ,Multiple,"Kenya Police, Local population","No Information on the Weapon Used, Tasers, Live and Rubber Bullets",School: No Further Details,1,0,0,0,0,0,True,0,0,0,0,,53,0,53,0,,0,0,40642,2023-09-28,2026-02-22
2023-07-12,,Myanmar,MMR,Kayin State,,,censored,Education Building ,Multiple,"KNU Karen National Union (Myanmar), Myanmar Armed Forces","Artillery, Firearms",School: No Further Details,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,40793,2023-10-04,2025-01-20
